Date : 2025-10-20 00:12:00
Directory : c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow
Total : 116 files,  4789 codes, 139 comments, 729 blanks, all 5657 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Kotlin   |        116 |      4,789 |        139 |        729 |      5,657 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                        |        116 |      4,789 |        139 |        729 |      5,657 |
| . (Files)                                                                                                                                                |          2 |         87 |          0 |         13 |        100 |
| data                                                                                                                                                     |         38 |        881 |          2 |        204 |      1,087 |
| data\api                                                                                                                                                 |         12 |        121 |          0 |         48 |        169 |
| data\api (Files)                                                                                                                                         |          2 |         37 |          0 |         16 |         53 |
| data\api\dto                                                                                                                                             |         10 |         84 |          0 |         32 |        116 |
| data\api\dto\auth                                                                                                                                        |          4 |         39 |          0 |         14 |         53 |
| data\api\dto\common                                                                                                                                      |          1 |          6 |          0 |          2 |          8 |
| data\api\dto\user                                                                                                                                        |          5 |         39 |          0 |         16 |         55 |
| data\local                                                                                                                                               |         12 |        196 |          1 |         55 |        252 |
| data\local (Files)                                                                                                                                       |          5 |         99 |          1 |         25 |        125 |
| data\local\db                                                                                                                                            |          7 |         97 |          0 |         30 |        127 |
| data\local\db (Files)                                                                                                                                    |          1 |         14 |          0 |          3 |         17 |
| data\local\db\dao                                                                                                                                        |          3 |         45 |          0 |         18 |         63 |
| data\local\db\entities                                                                                                                                   |          3 |         38 |          0 |          9 |         47 |
| data\mapper                                                                                                                                              |          3 |         53 |          0 |         11 |         64 |
| data\network                                                                                                                                             |          3 |        172 |          0 |         35 |        207 |
| data\repository                                                                                                                                          |          7 |        333 |          1 |         53 |        387 |
| data\storage                                                                                                                                             |          1 |          6 |          0 |          2 |          8 |
| di                                                                                                                                                       |          5 |        186 |          0 |         31 |        217 |
| domain                                                                                                                                                   |         21 |        276 |          0 |         65 |        341 |
| domain\manager                                                                                                                                           |          2 |         47 |          0 |         10 |         57 |
| domain\model                                                                                                                                             |          5 |         32 |          0 |         10 |         42 |
| domain\repository                                                                                                                                        |          6 |         52 |          0 |         18 |         70 |
| domain\usecase                                                                                                                                           |          8 |        145 |          0 |         27 |        172 |
