Date : 2025-10-20 00:12:00
Directory : c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow
Total : 116 files,  4789 codes, 139 comments, 729 blanks, all 5657 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| presentation                                                                                                                                             |         44 |      3,093 |        136 |        356 |      3,585 |
| presentation\common                                                                                                                                      |          7 |        343 |         74 |         46 |        463 |
| presentation\navigation                                                                                                                                  |          7 |        445 |          4 |         47 |        496 |
| presentation\navigation (Files)                                                                                                                          |          2 |        138 |          2 |         10 |        150 |
| presentation\navigation\components                                                                                                                       |          4 |        290 |          2 |         32 |        324 |
| presentation\navigation\viewmodel                                                                                                                        |          1 |         17 |          0 |          5 |         22 |
| presentation\screens                                                                                                                                     |         27 |      2,231 |          7 |        244 |      2,482 |
| presentation\screens\auth                                                                                                                                |         10 |        630 |          6 |         90 |        726 |
| presentation\screens\auth (Files)                                                                                                                        |          2 |         83 |          0 |         13 |         96 |
| presentation\screens\auth\components                                                                                                                     |          4 |        382 |          0 |         49 |        431 |
| presentation\screens\auth\viewmodel                                                                                                                      |          4 |        165 |          6 |         28 |        199 |
| presentation\screens\common                                                                                                                              |          4 |        367 |          1 |         37 |        405 |
| presentation\screens\common (Files)                                                                                                                      |          3 |        281 |          0 |         29 |        310 |
| presentation\screens\common\components                                                                                                                   |          1 |         86 |          1 |          8 |         95 |
| presentation\screens\dashboard                                                                                                                           |          1 |         22 |          0 |          4 |         26 |
| presentation\screens\marketing                                                                                                                           |          6 |        424 |          0 |         41 |        465 |
| presentation\screens\profile                                                                                                                             |          6 |        788 |          0 |         72 |        860 |
| presentation\screens\profile (Files)                                                                                                                     |          1 |        140 |          0 |         18 |        158 |
| presentation\screens\profile\components                                                                                                                  |          4 |        507 |          0 |         37 |        544 |
| presentation\screens\profile\viewmodel                                                                                                                   |          1 |        141 |          0 |         17 |        158 |
| presentation\theme                                                                                                                                       |          3 |         74 |         51 |         19 |        144 |
| utils                                                                                                                                                    |          5 |        246 |          1 |         54 |        301 |
| viewmodel                                                                                                                                                |          1 |         20 |          0 |          6 |         26 |
+----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                                 | language | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\MainActivity.kt                                                   | Kotlin   |         61 |          0 |          9 |         70 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\SharkFlowApp.kt                                                   | Kotlin   |         26 |          0 |          4 |         30 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\api\AuthApi.kt                                               | Kotlin   |         11 |          0 |          4 |         15 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\api\UserApi.kt                                               | Kotlin   |         26 |          0 |         12 |         38 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\api\dto\auth\LoginRequestDto.kt                              | Kotlin   |         10 |          0 |          4 |         14 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\api\dto\auth\LoginResponseDto.kt                             | Kotlin   |          9 |          0 |          3 |         12 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\api\dto\auth\RefreshResponseDto.kt                           | Kotlin   |          8 |          0 |          3 |         11 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\api\dto\auth\RegisterRequestDto.kt                           | Kotlin   |         12 |          0 |          4 |         16 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\api\dto\common\GenericMessageResponseDto.kt                  | Kotlin   |          6 |          0 |          2 |          8 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\api\dto\user\ConfirmationCodeDto.kt                          | Kotlin   |          7 |          0 |          4 |         11 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\api\dto\user\DeleteRequestDto.kt                             | Kotlin   |          6 |          0 |          3 |          9 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\api\dto\user\UpdateUserAvatarRequestDto.kt                       | Kotlin   |          8 |          0 |          2 |         10 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\api\dto\user\UpdateUserDto.kt                                | Kotlin   |         10 |          0 |          4 |         14 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\api\dto\user\UserDto.kt                              | Kotlin   |          8 |          0 |          3 |         11 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\local\Constants.kt                                           | Kotlin   |          3 |          1 |          2 |          6 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\local\DeviceIdPreference.kt                                  | Kotlin   |         20 |          0 |          5 |         25 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\local\LanguagePreference.kt                                  | Kotlin   |         16 |          0 |          6 |         22 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\local\SecureTokenPreference.kt                               | Kotlin   |         45 |          0 |          7 |         52 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\local\ThemePreference.kt                                     | Kotlin   |         15 |          0 |          5 |         20 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\local\db\AppDataBase.kt                                      | Kotlin   |         14 |          0 |          3 |         17 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\local\db\dao\BoardDao.kt                                     | Kotlin   |         15 |          0 |          6 |         21 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\local\db\dao\TaskDao.kt                                      | Kotlin   |         15 |          0 |          6 |         21 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\local\db\dao\UserDao.kt                                      | Kotlin   |         15 |          0 |          6 |         21 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\local\db\entities\BoardEntity.kt                             | Kotlin   |         13 |          0 |          3 |         16 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\local\db\entities\TaskEntity.kt                              | Kotlin   |         13 |          0 |          3 |         16 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\local\db\entities\UserEntity.kt                              | Kotlin   |         12 |          0 |          3 |         15 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\mapper\AuthMapper.kt                                         | Kotlin   |         32 |          0 |          5 |         37 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\mapper\GenericMapper.kt                                      | Kotlin   |          8 |          0 |          3 |         11 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\mapper\UserMapper.kt                                         | Kotlin   |         13 |          0 |          3 |         16 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\network\AuthInterceptor.kt                                   | Kotlin   |        122 |          0 |         25 |        147 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\network\DeviceIdInterceptor.kt                               | Kotlin   |         12 |          0 |          3 |         15 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\network\SecureCookieJar.kt                                   | Kotlin   |         38 |          0 |          7 |         45 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\repository\AuthRepositoryImpl.kt                             | Kotlin   |         50 |          1 |          9 |         60 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\repository\CloudinaryRepositoryImpl.kt                       | Kotlin   |         65 |          0 |         13 |         78 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\repository\LanguageRepositoryImpl.kt                         | Kotlin   |         27 |          0 |          7 |         34 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\repository\RegisterRepositoryImpl.kt                         | Kotlin   |         44 |          0 |          5 |         49 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\repository\SecureTokenPreferenceImpl.kt                      | Kotlin   |         13 |          0 |          4 |         17 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\repository\TokenRepositoryImpl.kt                            | Kotlin   |         19 |          0 |          5 |         24 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\repository\UserRepositoryImpl.kt                             | Kotlin   |        115 |          0 |         10 |        125 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\data\storage\TokenStorage.kt                                      | Kotlin   |          6 |          0 |          2 |          8 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\di\ContextModule.kt                                               | Kotlin   |         14 |          0 |          2 |         16 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\di\DatabaseModule.kt                                              | Kotlin   |         28 |          0 |          6 |         34 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\di\NetworkModule.kt                                               | Kotlin   |         79 |          0 |          9 |         88 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\di\RepositoryModule.kt                                            | Kotlin   |         41 |          0 |          9 |         50 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\di\StorageModule.kt                                    | Kotlin   |         24 |          0 |          5 |         29 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\manager\TokenManager.kt                                    | Kotlin   |         32 |          0 |          6 |         38 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\manager\UserManager.kt                                     | Kotlin   |         15 |          0 |          4 |         19 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\model\AuthToken.kt                                         | Kotlin   |          6 |          0 |          2 |          8 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\model\GenericResult.kt                                     | Kotlin   |          5 |          0 |          2 |          7 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\model\LoginParams.kt                                       | Kotlin   |          6 |          0 |          2 |          8 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\model\RegisterParams.kt                                    | Kotlin   |          8 |          0 |          2 |         10 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\model\User.kt                                              | Kotlin   |          7 |          0 |          2 |          9 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\repository\AuthRepository.kt                               | Kotlin   |          7 |          0 |          3 |         10 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\repository\CloudinaryRepository.kt                         | Kotlin   |          8 |          0 |          2 |         10 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\repository\LanguageRepository.kt                           | Kotlin   |          8 |          0 |          4 |         12 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\repository\RegisterRepository.kt                           | Kotlin   |         12 |          0 |          4 |         16 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\repository\TokenRepository.kt                              | Kotlin   |          6 |          0 |          2 |          8 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\repository\UserRepository.kt                               | Kotlin   |         11 |          0 |          3 |         14 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\usecase\ClearTokensUseCase.kt                              | Kotlin   |         10 |          0 |          2 |         12 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\usecase\ConfirmRegistrationCodeUseCase.kt                  | Kotlin   |         24 |          0 |          3 |         27 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\usecase\LoginUseCase.kt                                    | Kotlin   |         28 |          0 |          8 |         36 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\usecase\RefreshTokenUseCase.kt                             | Kotlin   |         18 |          0 |          3 |         21 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\usecase\RegisterUserUseCase.kt                             | Kotlin   |         15 |          0 |          3 |         18 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\usecase\SaveTokensUseCase.kt                               | Kotlin   |         10 |          0 |          2 |         12 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\usecase\UpdateUserUseCase.kt                               | Kotlin   |         24 |          0 |          3 |         27 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\domain\usecase\UploadUserAvatarUseCase.kt                         | Kotlin   |         16 |          0 |          3 |         19 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\common\Accordion.kt                                  | Kotlin   |         50 |          0 |          6 |         56 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\common\AppButton.kt                                  | Kotlin   |         91 |          0 |         17 |        108 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\common\AppField.kt                                   | Kotlin   |         71 |          0 |          6 |         77 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\common\ConfirmationModal.kt                          | Kotlin   |         40 |          0 |          2 |         42 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\common\Link.kt                                       | Kotlin   |         69 |          0 |         10 |         79 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\common\ObserveToastMessages.kt                       | Kotlin   |         21 |          0 |          5 |         26 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\common\Slider.kt                                     | Kotlin   |          1 |         74 |          0 |         75 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\navigation\AppNavHost.kt                             | Kotlin   |        100 |          0 |          4 |        104 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\navigation\NavScreen.kt                              | Kotlin   |         38 |          2 |          6 |         46 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\navigation\components\LanguageButton.kt              | Kotlin   |        105 |          2 |         15 |        122 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\navigation\components\LogoutButton.kt                | Kotlin   |         44 |          0 |          6 |         50 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\navigation\components\LogoutModal.kt                 | Kotlin   |         32 |          0 |          4 |         36 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\navigation\components\NavigationBar.kt               | Kotlin   |        109 |          0 |          7 |        116 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\navigation\viewmodel\LanguageViewModel.kt            | Kotlin   |         17 |          0 |          5 |         22 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\auth\LoginScreen.kt                          | Kotlin   |         32 |          0 |          5 |         37 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\auth\RegisterScreen.kt                       | Kotlin   |         51 |          0 |          8 |         59 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\auth\components\CodeConfirmation.kt          | Kotlin   |         91 |          0 |         13 |        104 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\auth\components\LoginForm.kt                 | Kotlin   |        108 |          0 |         15 |        123 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\auth\components\RegisterForm.kt              | Kotlin   |        140 |          0 |         17 |        157 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\auth\components\RegisterSuccess.kt           | Kotlin   |         43 |          0 |          4 |         47 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\auth\viewmodel\AuthStateViewModel.kt         | Kotlin   |         39 |          6 |          6 |         51 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\auth\viewmodel\ConfirmationCodeViewModel.kt  | Kotlin   |         45 |          0 |          7 |         52 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\auth\viewmodel\LoginViewModel.kt             | Kotlin   |         35 |          0 |          6 |         41 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\auth\viewmodel\RegisterViewModel.kt          | Kotlin   |         46 |          0 |          9 |         55 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\common\HeroScreen.kt                         | Kotlin   |         69 |          0 |          9 |         78 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\common\SplashScreen.kt                       | Kotlin   |        157 |          0 |         10 |        167 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\common\SupportScreen.kt                      | Kotlin   |         55 |          0 |         10 |         65 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\common\components\ContactForm.kt             | Kotlin   |         86 |          1 |          8 |         95 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\dashboard\DashboardScreen.kt                 | Kotlin   |         22 |          0 |          4 |         26 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\marketing\AboutScreen.kt                     | Kotlin   |        110 |          0 |          8 |        118 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\marketing\AdvangatesScreen.kt                | Kotlin   |         97 |          0 |          8 |        105 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\marketing\FAQScreen.kt                       | Kotlin   |         42 |          0 |          6 |         48 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\marketing\FeaturesScreen.kt                  | Kotlin   |         50 |          0 |          6 |         56 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\marketing\HowItWorksScreen.kt                | Kotlin   |         68 |          0 |          7 |         75 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\marketing\SecurityScreen.kt                  | Kotlin   |         57 |          0 |          6 |         63 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\profile\ProfileScreen.kt                     | Kotlin   |        140 |          0 |         18 |        158 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\profile\components\ConfirmDeleteUserModal.kt | Kotlin   |         70 |          0 |          6 |         76 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\profile\components\DeleteUserModal.kt        | Kotlin   |         77 |          0 |          4 |         81 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\profile\components\ProfileAvatar.kt          | Kotlin   |        229 |          0 |         14 |        243 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\profile\components\UpdateUserModal.kt        | Kotlin   |        131 |          0 |         13 |        144 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\screens\profile\viewmodel\UserProfileViewModel.kt    | Kotlin   |        141 |          0 |         17 |        158 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\theme\Color.kt                                       | Kotlin   |         12 |         34 |         10 |         56 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\theme\Theme.kt                                       | Kotlin   |         48 |          0 |          6 |         54 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\presentation\theme\Type.kt                                        | Kotlin   |         14 |         17 |          3 |         34 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\utils\AppLog.kt                                                   | Kotlin   |         71 |          1 |         13 |         85 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\utils\ErrorMapper.kt                                              | Kotlin   |         36 |          0 |          9 |         45 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\utils\Lang.kt                                                     | Kotlin   |         35 |          0 |         10 |         45 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\utils\SecureCrypto.kt                                             | Kotlin   |         66 |          0 |         13 |         79 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\utils\ToastManager.kt                                             | Kotlin   |         38 |          0 |          9 |         47 |
| c:\Users\karen\AndroidStudioProjects\SharkFlow\app\src\main\java\com\example\sharkflow\viewmodel\AppViewModel.kt                                         | Kotlin   |         20 |          0 |          6 |         26 |
| Total                                                                                                                                                    |          |      4,789 |        139 |        729 |      5,657 |
+----------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
